speed_kph,range_km,consumption_wh_per_km
20.0,878.8092018858363,68.2148691824445
22.5,896.7848401407654,66.84157646721407
25.0,906.4425457301857,66.12311591406706
27.5,909.256656713607,65.91175414883887
30.0,906.4448361555947,66.10900567394239
32.5,899.0269179270026,66.64669137737675
35.0,887.8649385748929,67.47611482358934
37.5,873.6914375115372,68.56156802799303
40.0,857.1303180463732,69.8762725660396
42.5,838.712897364489,71.3997532320316
45.0,818.890762301133,73.11608714499731
47.5,798.0464271327471,75.01270576849971
50.0,776.502407779811,77.07955632450282
52.5,754.5290929979129,79.30850280327616
55.0,732.3516515259572,81.69289033423442
57.5,710.1561298428499,84.22722319916683
60.0,688.0948460588208,86.90692334215905
62.5,666.2911575485591,89.72814683713402
65.0,644.8436644079228,92.68764270903696
67.5,623.829902229999,95.7826431280905
70.0,603.3095727486566,99.01077713385244
72.5,583.3273576631469,102.37000220946804
75.0,563.9153583767018,105.85854954107246
77.5,545.0952019222616,109.47487987214684
80.0,526.8798507832877,113.21764763518351
82.5,509.2751515966782,117.08567160486541
85.0,492.2811548790825,121.07791073009747
87.5,475.8932350161732,125.19344410911756
90.0,460.10303687131045,129.4314543020891
92.5,444.8992725720107,133.7912133497598
95.0,430.26838937224215,138.27207099970045
97.5,416.1951270035669,142.8734447438921
100.0,402.66298064018275,147.59481135067418
102.5,389.65458352413197,152.43569963592074
105.0,377.15202142712116,157.39568426690553
107.5,365.13708945986883,162.47438043074314
110.0,353.59150026730816,167.6714392298625
112.5,342.49705135522777,172.9865436914158
115.0,331.83575816529464,178.41940529720023
117.5,321.5899585352245,183.96976095656805
120.0,311.7423933332997,189.63737035772238
122.5,302.2762673263607,195.42201364334554
125.0,293.17529371363423,201.32348936515072
127.5,284.4237252222889,207.34161267907476
130.0,276.00637420264985,213.47621374871852
132.5,267.9086237710205,219.7271363295297
135.0,260.116431716573,226.09423651029783
137.5,252.61632860769004,232.57738159194213
140.0,245.39541129512494,239.17644908642797
142.5,238.441332808162,245.8913258210614
145.0,231.74228947026563,252.72190713544225
147.5,225.28700591761088,259.6680961600836
150.0,219.06471858365802,266.7298031671689
152.5,213.06515811180614,273.9069449851688
155.0,207.27853107346573,281.1994444701089
157.5,201.69550129791347,288.60723002719226
160.0,196.3071710610289,296.1302351772692
162.5,191.10506233051086,303.76839816332716
165.0,186.0810982240584,311.52166159275174
167.5,181.22758480276775,319.38997211162666
170.0,176.5371932937087,327.3732801077696
172.5,172.0029428122509,335.47153943959273
175.0,167.61818363546638,343.6847071882024
177.5,163.3765810621615,352.01274343044975
180.0,159.27209988221423,360.45561103089227
182.5,155.2989894674521,369.01327545085513
