parameter,path,unit,nominal,low,high,range_low_km,range_high_km,delta_low_km,delta_high_km,span_km,span_pct,baseline_km
HVAC load,auxiliaries.hvac_load,W,0.0,0.0,3000.0,508.30309187269796,327.54031517518985,0.0,-180.76277669750812,180.76277669750812,35.562006131329866,508.30309187269796
Regen power limit,regeneration.max_regen_power,W,70000.0,0.0,90000.0,393.4835523609489,508.30309187269796,-114.81953951174904,0.0,114.81953951174904,22.588794234701417,508.30309187269796
Battery capacity,battery.gross_capacity,kWh,62.5,57.5,66.0,469.7156500077236,539.4025205910439,-38.58744186497438,31.099428718345905,69.68687058332029,13.709708183473538,508.30309187269796
Coastdown F2 (aero),road_load.coastdown_f2,N/(m/s)^2,0.37836,0.34,0.44,531.2780652255751,479.7601384093962,22.974973352877157,-28.542953463301785,51.51792681617894,10.13527708957579,508.30309187269796
Coastdown F0 (rolling),road_load.coastdown_f0,N,115.65,95.0,140.0,534.4837744349176,483.0264455897475,26.1806825622196,-25.27664628295048,51.45732884517008,10.123355468012246,508.30309187269796
Payload,mass.test_payload,kg,100.0,0.0,400.0,521.8067152317072,481.4376173136471,13.503623359009282,-26.86547455905088,40.36909791806016,7.94193436229784,508.30309187269796
Coastdown F1 (driveline),road_load.coastdown_f1,N/(m/s),1.8906,1.3,2.45,526.5097202415295,498.1495369632151,18.20662836883156,-10.153554909482864,28.360183278314423,5.579384373569204,508.30309187269796
Gearbox efficiency,transmission.efficiency,-,0.98,0.96,0.992,496.56768561296644,521.1346772499336,-11.73540625973152,12.831585377235626,24.566991636967145,4.833138343986274,508.30309187269796
Motor windage loss,motor.loss_k_windage,W/(rad/s)^3,1.7896e-06,1e-06,3e-06,520.3230105832669,498.712271731238,12.019918710568902,-9.590820141459972,21.610738852028874,4.251545819328043,508.30309187269796
